Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3176.18,3173.27,74.13,2692.61
3176.51,3173.6,74.25,2716.96
3176.84,3173.92,74.35,2741.33
3177.17,3174.25,74.45,2765.75
3177.49,3174.58,74.56,2790.19
3177.82,3174.91,74.66,2814.66
3178.15,3175.24,74.76,2839.18
3178.48,3175.56,74.87,2863.72
3178.81,3175.89,74.98,2888.31
3179.13,3176.22,75.09,2912.92
3179.46,3176.55,75.21,2937.58
3179.79,3176.88,75.32,2962.28
3180.12,3177.21,75.43,2987
3180.45,3177.53,75.54,3011.77
3180.77,3177.86,75.65,3036.57
3181.1,3178.19,75.76,3061.4
3181.43,3178.52,75.88,3086.29
3181.76,3178.85,75.99,3111.19
3182.09,3179.17,76.11,3136.15
3182.41,3179.5,76.21,3161.13
3182.74,3179.83,76.31,3186.15
3183.07,3180.16,76.43,3211.21
3183.4,3180.49,76.55,3236.3
3183.73,3180.81,76.66,3261.44
3184.06,3181.14,76.78,3286.61
3184.38,3181.47,76.9,3311.81
3184.71,3181.8,77.02,3337.07
3185.04,3182.13,77.14,3362.35
3185.37,3182.45,77.27,3387.69
3185.7,3182.78,77.39,3413.06
3186.02,3183.11,77.51,3438.46
3186.35,3183.44,77.62,3463.92
3186.68,3183.77,77.74,3489.4
3187.01,3184.09,77.87,3514.93
3187.34,3184.42,78,3540.5
3187.66,3184.75,78.14,3566.1
3187.99,3185.08,78.28,3591.77
3188.32,3185.41,78.43,3617.47
3188.65,3185.74,78.57,3643.23
3188.98,3186.06,78.74,3669.03
3189.3,3186.39,78.91,3694.89
3189.63,3186.72,79.11,3720.82
3189.96,3187.05,79.34,3746.81
3190.29,3187.38,79.61,3772.89
3190.62,3187.7,80,3799.06
3190.94,3188.03,80.56,3825.38
3191.27,3188.36,81.24,3851.93
3191.6,3188.69,81.86,3878.68
3191.93,3189.02,82.42,3905.64
3192.26,3189.34,82.98,3932.76
3192.59,3189.67,83.93,3960.11
3192.91,3190,90.75,3988.44
3193.24,3190.33,108.01,4020.78
3193.57,3190.66,146.76,4061.69
3193.9,3190.98,207.4,4119.15
3194.23,3191.31,278.82,4198.82
3194.55,3191.64,358.65,4303
3194.88,3191.97,468.43,4438.29
3195.21,3192.3,571.86,4609.34
3195.54,3192.63,668.3,4812.95
3195.87,3192.95,750.96,5046.11
3196.19,3193.28,845.52,5307.33
3196.52,3193.61,938.53,5600.78
3196.85,3193.94,1008.16,5920.67
3197.18,3194.27,1075.35,6262.15
3197.51,3194.59,1145.15,6626.31
3197.83,3194.92,1208.01,7012.65
3198.16,3195.25,1265.39,7418.6
3198.49,3195.58,1318.44,7842.7
3198.82,3195.91,1375.49,8284.47
